ccf,9952156,8772,22,89
ccg,9802028,8977,32,87
cda,9952014,8891,48,170
cdb,9971430,7509,9,37
cdc,9752518,8800,133,221
cdd,9992097,9105,93,209
cde,9975062,11222,239,472
cdf,9900325,8053,128,212
cdg,9940247,10105,66,151
cea,9970474,10178,91,212
ceb,9719301,7656,621,1073
cec,9862686,6680,7,17
ced,9971100,8149,47,91
cee,9889761,8214,148,277
cef,9947900,8375,167,268
ceg,9897398,8031,201,301
cfa,9987987,8709,71,156
cfb,9869672,8930,7,19
cfc,9625808,8618,106,218
cfd,9928760,7397,67,116
cfe,9952195,9452,10,32
cff,9409300,8305,12,32
cfg,9912758,7758,124,327
cga,9956097,8731,293,560
cgb,9985503,9719,40,124
cgc,9942316,7958,218,297
cgd,9994406,9296,13,32
cge,9993936,8938,77,232
cgf,9975521,8273,259,376
cgg,9970640,9307,184,350
daa,9996477,8487,38,92
dab,9803909,8691,91,192
dac,9912428,7980,73,114
dad,9891900,8266,241,565
dae,9799526,7922,78,198
daf,9978275,9670,389,604
dag,9867915,9823,73,216
dba,9959928,6361,56,114
dbb,9966567,9528,83,287
dbc,9853475,8104,68,127
dbd,9978112,8593,190,343
dbe,9894594,9853,265,417
dbf,9965538,9179,164,469
dbg,9751639,9828,24,39
dca,9744582,9359,326,518
dcb,9871906,7826,76,117
dcc,9913185,9513,389,686
dcd,9567139,10232,259,456
dce,9848063,10635,40,128
dcf,9704803,10485,138,285
dcg,9986144,9733,154,272
dda,9738557,9823,66,104
ddb,9713623,10177,30,73
ddc,9842246,7770,119,169
ddd,9930910,8757,307,773
dde,9908300,8751,59,102
ddf,9986459,8877,64,149
ddg,9993666,8616,214,532
dea,9486709,10175,79,146
deb,9970340,10062,139,228
dec,9826800,10342,32,82
ded,9940831,7803,92,202
dee,9872157,7694,167,364
def,9976810,9818,747,1160
deg,9930779,8143,62,109
dfa,9284859,8594,25,81
dfb,9736313,7683,79,143
dfc,9752247,8252,88,134
dfd,9987011,9817,67,134
dfe,9605933,7389,61,151
dff,9807572,8025,282,518
dfg,9821351,10180,69,254
dga,9928686,10642,137,287
dgb,9892830,9570,50,128
dgc,9819947,7271,16,46
dgd,9844406,11028,105,193
dge,9914042,9973,18,57
dgf,9920411,10046,95,165
dgg,9688537,9479,251,389
eaa,9896063,9346,183,313
eab,9817444,8660,27,106
eac,9801243,10129,15,31
ead,9553082,9980,22,45
eae,9988636,8021,88,118
eaf,9981434,10668,8,21
eag,9864375,8719,122,276
eba,9892987,9422,112,174
ebb,9778249,9731,100,292
ebc,9884468,8363,31,61
ebd,9948036,10012,137,294
ebe,9580735,8413,77,185
ebf,9842157,9019,71,104
ebg,9396991,9818,76,220
eca,9687780,9654,6,18
ecb,9641006,9110,80,149
ecc,9916605,7646,77,110
ecd,9996290,9825,82,129
ece,9997315,6749,71,241
ecf,9801621,8571,6,23
ecg,9569534,8984,56,105
eda,9955296,7585,48,153
edb,9950551,8550,116,223
edc,9748847,8229,44,123
edd,9469351,8989,146,212
ede,9955514,7560,7,15
edf,9897162,8437,259,465
edg,9975546,9865,357,746
eea,9977281,8211,114,218
eeb,9368022,10012,74,269
eec,9920376,7747,164,304
eed,9808765,8591,15,41
eee,9973368,8578,122,219
eef,9707767,10234,223,340
eeg,9839355,8646,66,189
efa,9918720,8113,238,376
efb,9858855,7020,83,195
efc,9966724,9579,163,393
efd,9845815,9928,180,318
efe,9839661,9596,127,181
eff,9597182,9777,130,174
efg,9755782,9083,69,152
ega,9800717,7473,9,23
egb,9771736,7970,240,453
egc,9953546,8001,38,69
egd,9850723,9076,21,45
ege,9708652,8616,189,324
egf,9368860,9110,43,85
egg,9936493,11421,21,62
faa,9945152,10472,38,183
fab,9769011,9432,75,147
fac,9361758,9689,87,149
fad,9988677,9108,35,104
fae,9458966,9125,241,518
faf,9951177,9017,11,33
fag,9786999,9826,157,292
fba,9684544,8779,319,537
fbb,9832697,8860,6,19
fbc,9571308,8051,312,462
fbd,9680813,9509,100,204
fbe,9997576,9232,180,356
fbf,9904176,6888,123,215
fbg,9912472,9152,31,88
fca,9782850,8950,138,207
fcb,9639569,9065,390,641
fcc,9798689,8934,12,37
fcd,9992454,8790,89,316
fce,9887184,7476,7,19
fcf,9882264,9253,93,128
fcg,9862685,10254,149,398
fda,9999941,9806,25,56
fdb,9895298,8867,193,402
fdc,9996111,9742,122,218
fdd,9861804,8941,14,38
fde,9976849,10448,32,80
fdf,9996453,8364,308,591
fdg,9824672,7913,91,191
fea,9580603,9434,200,359
feb,9880404,9008,147,225
fec,9949401,8664,20,59
fed,9904489,7611,184,346
fee,9894518,9885,63,246
fef,9888207,9166,51,83
feg,9946749,8344,66,90
ffa,9991828,7834,6,17
ffb,9928778,9155,100,226
ffc,9965824,8688,247,410
ffd,9912255,8988,65,101
ffe,9958957,8856,7,17
fff,9997068,8599,48,104
ffg,9819211,8225,71,178
fga,9889751,8316,230,372
fgb,9793312,8699,184,292
fgc,9951553,7505,209,352
fgd,9648161,8562,108,190
fge,9921906,9375,93,213
fgf,9946563,9819,184,240
fgg,9351189,8155,113,213
gaa,9635655,8912,130,225
gab,9966699,9366,79,139
gac,9916411,7551,70,123
gad,9294250,9727,91,228
gae,9934833,9015,41,121
gaf,9793528,9795,6,16
gag,9810592,9218,158,225
gba,9969833,10756,9,40
gbb,9776032,8556,183,292
gbc,9947554,7877,110,280
gbd,9427037,9632,13,46
gbe,9547738,10756,56,170
gbf,9980764,9673,218,325
gbg,9933475,8868,8,21
gca,9976388,8545,150,245
gcb,9692727,8896,16,53
gcc,9840060,8656,65,155
gcd,9966638,9622,155,313
gce,9879639,10065,152,414
gcf,9842141,9102,8,23
gcg,9197399,7813,20,41
gda,9952173,8302,334,481
gdb,9663473,9803,82,253
gdc,9991974,9728,48,104
gdd,9973444,10821,76,131
gde,9967963,9005,16,49
gdf,9920636,9154,213,304
gdg,9988854,8856,90,131
gea,9884840,10245,35,100
geb,9911698,6934,52,114
gec,9989227,8638,112,167
ged,9923268,10370,209,427
gee,9968119,9956,94,240
gef,9986434,10023,65,198
geg,9591021,9193,177,434
gfa,9527389,8641,109,264
gfb,9709759,9503,233,350
gfc,9997326,8487,115,258
gfd,9973717,8981,114,223
gfe,9928602,9171,47,102
gff,9567272,9158,10,27
gfg,9714978,9524,49,95
gga,9631146,8828,238,359
ggb,9887580,7443,16,29
ggc,9696972,9288,38,64
ggd,9989985,9385,301,462
gge,9928297,10120,148,306
ggf,9905885,9482,60,88
ggg,9721384,7864,110,148
